用户ID,商品,购买日期,购买价格 (元)
4082,Cosmetics,2023-09-17,713
3992,Food & Beverage,2023-09-13,6288
1446,Technology,2023-09-21,1844
5259,Shoes,2023-10-15,5117
5044,Clothing,2023-10-02,9701
4646,Technology,2023-10-07,8535
2484,Toys,2023-11-02,6539
3549,Cosmetics,2023-09-08,7694
2775,Books,2023-10-11,7154
3311,Shoes,2023-09-10,4856
2311,Clothing,2023-10-27,2670
5693,Clothing,2023-09-03,5804
2368,Toys,2023-09-23,5619
1841,Books,2023-10-04,3083
2745,Toys,2023-09-08,7791
1099,Food & Beverage,2023-11-16,1102
3426,Toys,2023-09-02,9918
3319,Food & Beverage,2023-09-20,9529
4642,Shoes,2023-11-25,3906
4207,Food & Beverage,2023-09-09,4564
3790,Shoes,2023-11-27,1045
5664,Technology,2023-11-13,3767
1222,Toys,2023-11-14,2647
2224,Books,2023-10-09,841
4518,Food & Beverage,2023-11-06,9619
1491,Food & Beverage,2023-09-04,1266
1565,Food & Beverage,2023-11-12,9909
5021,Toys,2023-09-28,1362
2607,Books,2023-09-06,388
3673,Cosmetics,2023-11-18,5011
5686,Food & Beverage,2023-09-26,4281
4516,Toys,2023-10-22,7866
2837,Clothing,2023-10-12,6682
5565,Food & Beverage,2023-09-14,5885
5449,Shoes,2023-09-10,2487
1365,Technology,2023-10-11,6936
3924,Technology,2023-10-29,5370
1892,Clothing,2023-10-11,7879
3448,Clothing,2023-11-09,5784
3052,Food & Beverage,2023-09-26,4038
5165,Books,2023-11-07,5799
1720,Books,2023-10-14,8343
2260,Clothing,2023-10-08,5860
4051,Toys,2023-09-30,1797
4094,Books,2023-09-12,5760
5332,Books,2023-09-19,4192
4496,Technology,2023-10-24,6659
2133,Shoes,2023-09-29,1853
2213,Shoes,2023-09-06,4663
2214,Toys,2023-11-27,6854
1834,Books,2023-10-09,3633
3825,Cosmetics,2023-09-24,4558
3275,Toys,2023-10-03,1170
5816,Toys,2023-11-23,9566
4304,Food & Beverage,2023-10-26,338
1475,Shoes,2023-09-08,491
4236,Clothing,2023-11-13,233
2590,Books,2023-10-24,3948
4916,Toys,2023-09-28,8904
3042,Clothing,2023-09-01,2767
1556,Shoes,2023-10-23,8019
1394,Food & Beverage,2023-11-05,8004
5592,Cosmetics,2023-10-14,3881
2055,Books,2023-09-18,2078
3536,Cosmetics,2023-11-02,650
1117,Food & Beverage,2023-10-10,7047
5643,Technology,2023-11-21,4152
3119,Technology,2023-11-25,3566
5806,Clothing,2023-09-19,4953
5948,Clothing,2023-11-20,4494
5325,Toys,2023-09-24,1453
1196,Technology,2023-09-03,9153
4673,Technology,2023-10-11,2376
5777,Food & Beverage,2023-11-04,6440
4613,Toys,2023-11-29,9712
4545,Clothing,2023-10-29,6195
3715,Technology,2023-09-06,2536
2593,Shoes,2023-09-08,699
2716,Toys,2023-09-02,9257
1674,Toys,2023-10-26,1746
1854,Books,2023-09-25,6815
2971,Technology,2023-10-26,7719
3554,Clothing,2023-09-28,807
5078,Shoes,2023-11-13,7823
2720,Food & Beverage,2023-10-17,8452
3833,Cosmetics,2023-11-23,5243
5486,Cosmetics,2023-11-03,4800
1457,Books,2023-11-11,3102
1137,Cosmetics,2023-09-17,947
2864,Toys,2023-11-18,6423
4114,Cosmetics,2023-10-10,6110
2516,Cosmetics,2023-09-07,2396
3987,Books,2023-09-06,6473
5564,Toys,2023-10-06,4282
2178,Cosmetics,2023-11-18,4232
3849,Shoes,2023-09-18,5576
1303,Toys,2023-11-14,8733
4999,Toys,2023-11-22,9023
2313,Food & Beverage,2023-09-19,1530
1902,Clothing,2023-11-25,894
1325,Food & Beverage,2023-11-15,4601
5008,Books,2023-09-08,3791
3602,Technology,2023-10-28,1863
3808,Shoes,2023-09-02,6141
3074,Clothing,2023-10-07,2975
5323,Books,2023-09-06,8642
2561,Cosmetics,2023-11-12,9213
4339,Cosmetics,2023-10-31,2714
3791,Toys,2023-10-01,6654
1890,Shoes,2023-11-14,4151
4093,Cosmetics,2023-11-07,5096
3240,Shoes,2023-11-23,3314
2505,Books,2023-09-16,6589
5416,Food & Beverage,2023-10-05,1876
2633,Books,2023-10-10,1884
2266,Cosmetics,2023-10-12,2213
4518,Clothing,2023-09-11,4517
2261,Technology,2023-10-18,2368
3792,Toys,2023-09-25,4969
4581,Cosmetics,2023-10-10,5651
1091,Books,2023-10-05,4688
3409,Shoes,2023-09-25,1755
4922,Shoes,2023-11-18,2204
4866,Food & Beverage,2023-10-02,7435
3381,Food & Beverage,2023-09-30,484
2770,Cosmetics,2023-10-31,4030
1198,Shoes,2023-10-13,4276
1837,Food & Beverage,2023-10-29,1691
2633,Toys,2023-09-14,4238
5380,Food & Beverage,2023-09-27,1850
2956,Books,2023-10-29,2142
1275,Shoes,2023-10-13,6795
4318,Cosmetics,2023-11-12,2963
2248,Cosmetics,2023-09-02,896
3406,Shoes,2023-10-06,5881
2638,Food & Beverage,2023-10-04,9859
5024,Cosmetics,2023-11-25,1763
2602,Food & Beverage,2023-11-02,7897
4788,Food & Beverage,2023-09-29,8102
1206,Shoes,2023-11-07,5703
3587,Cosmetics,2023-10-14,9324
3406,Cosmetics,2023-09-11,8566
1868,Books,2023-09-11,9320
5978,Shoes,2023-10-21,9542
4416,Clothing,2023-09-15,1153
5718,Books,2023-10-28,8501
2851,Food & Beverage,2023-11-24,2412
3015,Clothing,2023-09-07,6485
1304,Toys,2023-09-06,4980
5279,Shoes,2023-11-21,1676
1712,Shoes,2023-09-22,8580
2417,Cosmetics,2023-11-03,1074
1113,Technology,2023-10-04,5450
1739,Books,2023-11-20,6672
4520,Cosmetics,2023-10-31,6660
5995,Clothing,2023-09-08,8189
5724,Books,2023-11-29,5152
5973,Books,2023-09-20,2254
2698,Books,2023-11-09,6595
4429,Shoes,2023-11-11,4492
5605,Technology,2023-09-12,5162
1654,Food & Beverage,2023-10-24,1863
4433,Shoes,2023-10-12,434
2774,Cosmetics,2023-09-27,4345
3267,Cosmetics,2023-11-10,3253
3472,Shoes,2023-09-25,6703
5284,Clothing,2023-11-07,8261
4697,Shoes,2023-10-08,4233
3251,Clothing,2023-10-09,8152
5052,Cosmetics,2023-10-20,9911
1998,Shoes,2023-09-03,929
2440,Cosmetics,2023-09-11,1005
3374,Toys,2023-10-21,2522
3696,Food & Beverage,2023-11-17,2303
2556,Toys,2023-10-05,1555
3211,Cosmetics,2023-09-10,9100
2964,Books,2023-11-27,1800
5431,Food & Beverage,2023-11-22,8500
3501,Toys,2023-10-07,3590
2674,Books,2023-10-01,7986
3320,Books,2023-10-17,8445
3245,Books,2023-10-18,7709
2741,Cosmetics,2023-09-16,8013
2005,Shoes,2023-11-09,8076
5084,Technology,2023-11-04,6632
4683,Technology,2023-11-09,8338
3031,Food & Beverage,2023-09-11,6431
1455,Toys,2023-09-24,9715
5850,Toys,2023-10-28,8847
1663,Books,2023-11-29,8459
3175,Technology,2023-09-21,6564
2340,Cosmetics,2023-10-01,5287
4501,Clothing,2023-11-11,8696
3207,Toys,2023-09-24,6587
1094,Technology,2023-11-15,7196
3762,Toys,2023-09-08,7791
4491,Toys,2023-11-24,5732
1490,Toys,2023-09-10,5725
3854,Shoes,2023-10-30,484
4175,Clothing,2023-09-14,1591
1243,Cosmetics,2023-09-16,8951
3611,Clothing,2023-10-23,6638
3218,Cosmetics,2023-09-04,778
1563,Toys,2023-11-23,7886
1329,Cosmetics,2023-11-17,1762
2384,Toys,2023-11-07,5503
3019,Shoes,2023-10-28,9372
1241,Toys,2023-10-08,736
3269,Clothing,2023-11-29,2242
2872,Food & Beverage,2023-10-01,7635
3173,Clothing,2023-11-18,2982
3743,Technology,2023-09-08,8947
4713,Cosmetics,2023-10-05,4331
5232,Clothing,2023-09-26,431
5839,Toys,2023-10-30,9044
4292,Technology,2023-09-22,1458
5421,Clothing,2023-10-03,4616
5211,Cosmetics,2023-09-02,1539
5065,Clothing,2023-11-13,2843
1061,Toys,2023-11-27,9988
1777,Toys,2023-10-24,3759
5872,Food & Beverage,2023-11-19,4790
3287,Toys,2023-09-16,2826
1377,Cosmetics,2023-09-21,6298
4381,Cosmetics,2023-09-22,150
2162,Books,2023-10-18,549
3683,Food & Beverage,2023-09-02,8467
1682,Shoes,2023-09-26,5841
5335,Clothing,2023-10-05,4722
5828,Books,2023-09-12,2513
3655,Toys,2023-11-27,828
1411,Technology,2023-10-16,3779
4987,Toys,2023-11-18,6379
4193,Technology,2023-09-13,3296
2591,Shoes,2023-11-26,3610
3265,Food & Beverage,2023-09-20,1851
